Idea Number,Channel,Theme,What are the challenges/issues raised?,What is the proposed solution?
3047,اللقاء,الرقمنة,ضعف صبيب الانترتيت بالجماعة,صيانة شبكة الانترنيت لتمكين الموظفين من العمل بيسر
3048,اللقاء,الرقمنة,عدم التوازن بين ملحقتي الجماعة في الخدمات,تزويد ملحقة راس الماء بالعتاد الإلكتروني الكافي لتقديم خدمات القرب للساكنة
3050,اللقاء,التهيئة العمرانية,اشكاليات الوعاء العقاري,تبسيط عملية تفويت الاراضي السلالية تحت اشراف الجهاز الوصي بوزارة الداخلية
3052,اللقاء,التهيئة العمرانية,نقص في التسويق الترابي للجماعة,تقديم برامج اعلامية للتعريف بالمؤهلات الجغرافية والسياحية لفتح باب الاستثمار امام المنعشين العقاريين للاستثمار بالجماعة
3053,اللقاء,التهيئة العمرانية,سوء تدبير الوعاء العقاري والتجزئات السكنية,"تدبير الوعاء العقاري بشكل جيد وبرمجة المؤسسات التعليمة بالتجزئات السكنية 
تحديد الثمن المناسب لوعاء العقاري حسب موقعه
تتبع عمل الشركات لتي تكلفت بتهيئة الاحياء السكنية والزامها بانهاء الاشغال"
3055,اللقاء,الهيئات الاستشارية,ضعف اشتغال الهيئة بعدم تنظيم لقاءات واجتماعات دورية وبصفة منتظمة,وضع برنامج سنوي للهيئة
3056,اللقاء,الهيئات الاستشارية,ضعف مساهمة المراة في الاقتصاد التضامني الاجتماعي بجماعة عين الشقف,وضع برامج تنموية تهم المرأة بعين الشقف
3057,اللقاء,الهيئات الاستشارية,عدم تواصل الهيئة مع مختلف الهيائات المحدثة لدى جماعات ترابية اخرى قصد الاستفادة من تجاربهم,عقد شراكات من اجل التواصل وتبادل التجارب والخبرات في المجال الاستشاري
3059,اللقاء,الهيئات الاستشارية,انعدام تواجد هيئة خاصة بالنساء مائة بالمائة,"إحداث مجلس النساء 
إحداث مجلس الشباب"
3062,اللقاء,التتبع والتقييم,نقص في الموارد البشرية المتخصصة,فتح باب التوظيف في وجه المترشحين المتخصصين
3063,اللقاء,التتبع والتقييم,غياب المقاربة التشاركية في تنزيل وتتبع وتقييم المشاريع,تطوير وسائل التتبع والتقييم باتباع تقنيات تسهل عملية التتبع والتقييم
3066,اللقاء,التتبع والتقييم,نقص الامكانيات التقنية وآليات التتبع,"تنظيم دورات تكوينية في موضوع التتبع والتقييم والديموقراطية التشاركية ووضع مخطط سنوي للتتبع والتقييم
الانفتاح على الساكنة"
3067,اللقاء,تعزيز الشفافية الولوج إلى المعلومة,"الاقتصار على نشر المعلومات المتعلقة بأنشطة المجلس فقط على الموقع الالكتروني للجماعة
عدم تحيين المعلومات بشكل متزامن مع المستجدات
عدم نشر المعلومات التالية:
الميزانية ، برنامج العمل : محاضر الدورات دفاتر تحملات المشاريع","1 تعزيز التواصل بوسائل اخرى: ملصقات مطويات، لافتات جمعيات
2 اتاحة امكانية الاطلاع على تفاصيل المشاريع من حيث نشرها عبر الوسائل المشار اليها"
3069,اللقاء,دعم و تشجيع المشاركة المواطنة,"ضعف التكوين لدى الفاعل المدني والمؤسساتي في مجال المشاركة المواطنة
غياب التواصل
انعدام الثقة
ضعف الاجرأة
غياب التكوين
ضعف الموارد المالية واللوجيستيكية والبشرية","3 دورات تكوينية في مجال الديمقراطية التشاركية
4 لقاءات تواصلية للتشاور العمومي من أجل احداث هيئات استشارية اخرى بالجماعة
5 تقوية قدرات الفاعلين المدنيينو المؤسساتيين في محور المشاركة المواطنة"
3070,اللقاء,اشراك المواطنات والمواطنين وهيئات المجتمع المدني في تتبع تنفيذ برنامج عمل الجماعة,"ضعف اهتمام المواطن بالشان المحلي
ضعف التواصل حول برنامج عمل الجماعة ومراحل تنفيذه
غياب اليات مشتركة لتتبع تنفيذ برنامج عمل الدماعة","6 استقطام المهتمين بالشان المحلي في افق احداث مجالس الاحياء
احداث مجالس الاحياء
7 وضع خطة للتواصل حول برنامج العمل ومراحل تنفيذه
8 احداث لجتة ثلاثية -منتخب-موضف-مجتمع مدني-لتتبع تنفيذ برنامج عمل الجماعة
تفعيل الميزانية التشاركي
9 اعداد تصور اولي حول مجالس الاحياء- خلية مجلس حي تجريبي
تفعيل مكتب المواطن 
اعداد ونشر ميزانية المواطن"
3071,الموقع,فك العزلة عن العالم القروي,الاشكاليات المطروحة هي اننا قمنا بعدة مسيرات احتجاجية من اجل اصلاح هده المسافة القصيرة من الطريق الغير معبدة من اجل تسهيل مرور النقل المدرسي بقصر إمزداغ وفي كل مرة نتلقى وعود كادبة من مسؤ ولي عمالة ميدلت ولا شئ تغير الا ان الطريق لا تصلح الا لمرور الدواب,تبليط 3 كيلومتر من الطريق فقط الرابطة بين قصر إمزداغ و الطريق الوطنية رقم 13
3072,الموقع,فك العزلة عن العالم القروي,بعض سكان الدواوير يعيشون في عزلة خاصة في فصل الشتاء ( تگرسيفت الغربية و أيت لعباس....),بناء القناطر ( المنشآت الفنية) على الوديان و تعبيد الطرقات الرابطة بين المجال الحضري و الدواوير القروية لفك العزلة
3079,الموقع,فك العزلة عن العالم القروي,يعاني دوار أيت إلوسان الذي أنتمي إليه من مشكل المسلك الطرقي الذي يربطه بمركز زايدة و بالطريق الوطنية 13 .فهو غير معبد ويعيق تنمية المنطقة.,تعبيد الطريق
3102,الموقع,فك العزلة عن العالم القروي,"- المقطع الطرقي بين توفيت وايت أمغار عبر سد تمالوت في حالة كارثية.
-تعاني الساكنة ومعها زوار سد تمالوت من تبعات هذا المقطع الطرقي.",-نطالب ببرمجة ميزانية خاصة لهذا الغرض، لفك العزلة عن مجموعة من دواوير إيمتشيمن.
3104,الموقع,الماء الصالح للشرب,"قصر توغاش الشرقية. 
الساكنة تعاني في البحث عن الماء الشروب ، التنقل على الدواب يوميا لجلب هذه المادة الضرورية وبمساعدة أطفالهم.",حفر بئر وبناء صهريج وتجهيزه بالطاقة الشمسية ، وربط المنازل بالشبكة.
3108,الموقع,فك العزلة عن العالم القروي,صعوبة ولوج الاطفال للمدرسة .وخاصة في فصل الشتاء و صعوبة وصول الأساتذة للمدرسة,انجاز طريق الرابط بين الطريق الرئيسية و مدرسة تداموت تتراوح مسافتها حوالي 2كلم
3111,الموقع,الماء الصالح للشرب,"بسم الله الرحمن الرحيم والصلاة والسلام علي سيدنا محمد (ص) اما بعد .
كما تعلمون جمعا يعرف المغرب في هذه السنوات الاخيرة شح المياه بسبب الجفاف . لهذا اخبركم ان جماعة زايدة تعاني من نقص في الماء الصالح للشرب وخصوصا في دوار ايت حمو ويوسف وباقي الدواوير ؛ لقد تم تزويد جميع الدواوير بالماء الصالح للشرب ما عدا دوار ايت حمو ويوسف وطرحنا هذا السؤال على المسوولين ولم نتوصل إلى أي جواب مقنع رغم المنازل المتبقية الغير المزودة بالماء الصالح للشرب لم تتعدى 8 منازل تقريبا . نريد حلا لهذا المشكل في أقرب الاجل وشكرا .",حفر بئر في مكان استراتيجي مع انشاء خزان . او تزويد الساكنة بالماء الصالح للشرب من جماعة ايتزار لقربها إلى الساكنة .
3112,الموقع,تعزيز الولوج للمعلومة,غياب التواصل وشح المعلومة,احداث موقع الكتروني قصد التواصل مع موطنات ومواطنين بالاقليم ميدلت
3113,اللقاء,تعزيز رقمنة الخدمات,"عدم تفعيل الموقع الرسمي للجماعة 
رقمنة الميزانية: عدم نشر الميزانية - صعوبة فهم الميزانية
صعوبة التواصل مع مصلحة الانارة","10 خلق خلية الاعلام والتواصل داخل الجماعة تشرف على تحيين الموقع
11 نشر الميزانية في الموقع الرسمي للجماعة
12 تبسيط قراءة وفهم مختلف محاور الميزانية عبر تنظيم لقاءات وندوات
13 وضع خط هاتفير رهن اشارة المواطنينيرتبط مباشرة بمصلحة الانارة- رقم اخضر- اضافة الى تطبيق لوضع الشكايات"
3167,اللقاء,الخدمات العمومية,ضعف الجاذبية الإقتصادية,تنظيم معارض ومهرجانات لتعزيز الجادبية الاقتصادية.
3176,الموقع,فك العزلة عن العالم القروي,فك العزلة على مجموعة من القرى من بينها ولال.تغرماتبن.تابية.ايت اسعيد باليت.زاوية سيدي بوكيل ݣفاي و دالك عبر الطريق الرابطة بين قصر ولال و قصر تغجدت الدي يبلغ طوله حوالي 2 كلم !!!,إنشاء طريق على بعد 2 كلم بين قصر ولال و قصر تغجدت
3179,الموقع,فك العزلة عن العالم القروي,يعاني دوار امغار الموتن التابع لجماعة اغبالو من مسلك طرقي غير معبد منذ فترة طويلة، مسافته لا تتجاوز 4 كيلومترات، لهذا نناشد ونتمنى من الجهات المسوولة الالتفاتة ورد الاعتبار لهذه المنطقة وشكرا,تبليط وإصلاح وحبذا لو تم برمجة زيارة ميدانية للمنطقة من أجل التعرف على المنطقة وتحديد نوعية الإصلاح وشكرا
3183,الموقع,النقل المدرسي,بعض المتعلمين و المتعلمات الغير الداخليين /الداخليات من منطقة آيت عياش و الذين يتابعون دراستهم بمؤسسة مولاي رشيد التأهيلية أو ثانوية الحسن الثاني التأهيلية يريدون نقلا مدرسيا يربط مدينة ميدلت بآيت عياش بحيث أن كراء المنازل و تحمل عبء الحياة أثقل كاهلهم,"✓ إتاحة أربعة نقل مدرسي بمساهمة من طرف أولياء أمور التلاميذ لنقل ابنائهم من مدينة ميدلت إلى جل مناطق آيت عياش يوميا.
✓ العمل على إصدار بطاقة الإستفادة من النقل المدرسي للمتعلمين و المتعلمات بشراكة مع المؤسسات التعليمية التي يدرسون بها و أولياء أمور المتعلمين و المتعلمات."
3184,الموقع,فك العزلة عن العالم القروي,المسافة بين قصر تكرسيفت ومدينة الريش لاتتعدى 3 كلم ولا وجود لاي منشاة فنية طريق مستوية ، من الريش الى التجمع السكني الطيارة تم تشييد الطريق من طرف الجماعة الترابية الريش . لكن من الطيارة الى تكرسيفت لا زالت الطريق كما كانت منذ الاستعمار .,تشيييد الطريق من الطيارة الى تكرسيفت ( اقل من 2كلم ) .
3311,ذاتية,التواصل والوصول إلى المعلومة,"عدم توفر بعض الجماعات على مواقع للنشر 
انتشار وارتفاع نسبه الأمية مما يحد من استعمال او الولوج للمنصات الرقمية
البرامج التنمويه الفقر والبطاله والادمان على المخدرات والهواتف انعدام الثقه بين المواطنين والاداره
عدم تفاعل بعض المسؤولين مع طلبات المواطنين
عدم النشر الاستباقي للمعلومة 
بطء تفاعل الاداره مع المواطن","برمجه مجموعة من اللقاءات التواصلية وتنظيم تكوينات لفائدة المجتمع المدني بشكل دوري او مستجدات
احداث دليل خاص بمواقع التواصل يستهدف جميع الفئات 
احداث مجموعات في الواتساب والفيسبوك 
تعيين مخاطب او مخاطبين بالجماعة
تعزيز الثقه بين المواطن والاداره 
تنظيم حملات تحسيسيه توعويه
محاربه الادمان
احدات خلايا تحسن الانصات والتواصل مع المواطنين
تخصيص نقط على صعيد الجماعة للاستفادة من الانترنت المجاني"
3203,الموقع,فك العزلة عن العالم القروي,نحيطكم علما سيدي بأنني رئيس جمعية المو مقرها بقصر تكندوزت أموكركما أنني ايضا سائق حافلة النقل المدرسي وأننا نعاني من خصاصي مهول في وسيلة النقل المدرسيللثانوية ال الاعدادية زيز بأموكر قيادة أموكر رغم توفرنا على بعضهم الا اننا نواجه أعطاب تقنية بشكل مستمر ودائم مما يجعل تلميد يعاني الويلات من الاكتطاط والكم الهائل منهم وتارة تتسب تلك الأعطاب في تأخرهم عن الدروس وهدا ما يجعل بعطهم يضطر عن مغادرة مقاعد الدراسة بصفة نهائية ولهذا نطالبكم سيدي بزيادة وسيلتين لنقل المدرسي المساندة لتلميد واللذي في حاجة ماسة اليها خصوصا انهم يقطنون في المناطق النائية وبهذا لينال نصبه في حقه المشروع ألا وهو التعليم,"حلنا المقترح يتجلى بشكل ملح في زيادة حافلتين على الاقل لتفادي مشاكل الاكتطاط واصال التلاميذ في أمن وأمان وسلام وفي قتهم المحدد 
والسلام"
3209,اللقاء,التأهيل الحضاري وصيانة الطرق بالمدينة,"Code
83

قلة مكسرات السرعة في بعض الطرقات المهمة",إحداث مكسرات السرعة على مسوى الشوارع التي تعرف السرعة القصوى للسيارات
3211,اللقاء,التأهيل الحضاري وصيانة الطرق بالمدينة,انعدام المراحيض العمومية بالمدينة.,إحداث مراحيض عمومية بالساحات العمومية بالمدينة.
3215,اللقاء,التأهيل الحضاري وصيانة الطرق بالمدينة,"Code
89
عدم وجود مكسرات السرعة امام المؤسسات التعليمية.",وضع مكسرات السرعة امام المؤسسات التعليمية.
3216,اللقاء,تجديد وصيانة شبكة الإنارة العمومية,"Code
90
عدم تغطية كل أحياء المدينة بالإنارة العمومية بشكل متكافئ.",القيام بدراسة تقنيةشاملة لكافة احياء المدينة بما فيها نوعية الانارة و الأعمدة الكهربائية الخاصة بالشبكة.
3217,اللقاء,تجديد وصيانة شبكة الإنارة العمومية,"Code
91
تردد المرتفقين على المصلحة المختصة من أجل معالجة المشاكل المرتبطة بالإنارة العمومية.",توفير عتاد الصيانة الخاص بشبكة الانارة بشكل دائم
3218,اللقاء,تجديد وصيانة شبكة الإنارة العمومية,"Code
92
اختلاف نوعية المصابيح المتبتة {الصوديوم الليد}",توحيد نوعية المصابيح بتقنية الليد اقتصادية وصديقة للبيئة مع استعمال الطاقة الشمسية في الساحات والاماكن العمومية والحدائق.
3219,اللقاء,تجديد وصيانة شبكة الإنارة العمومية,"Code
93

نقص الانارة بالمساجد والمؤسسات التعليمية .
نقص اليد العاملة لتلبية الحاجيات الخاصة بالانارة العمومية.","صيانة وإحداث الإنارة بالمرافق الرياضية والمساجد ودور الشباب والمؤسسات التعليمية {إعدادية السلام وإعدادية علال بن عبد الله}.
توفير اليد العاملة لتلبية حاجيات الساكنة في مجال الانارة العمومية."
3220,اللقاء,تحسين بنية الإستقبال,"Code
94

غياب مكتب الاستقبال والارشاد والتوجيه.",احداث مكتب للارشاد والتوجيه.
3222,اللقاء,تحسين بنية الإستقبال,"Code
96

عسر ولوج الاشخاص في وضعية إعاقة.",ملائمة الولوج للجماعة لقانون الولوجيات.
3224,اللقاء,تحسين بنية الإستقبال,"Code
98

نقص التشوير الارشادي داخل الجماعة.",توفير لوحات إرشادية وشاشات توجيهية.
3226,اللقاء,تحسين بنية الإستقبال,"Code
100

ضعف التواصل من المجلس في اتجاه المواطن",تعيين ناطق رسمي باسم المجلس.
3227,اللقاء,تحسين بنية الإستقبال,"Code
101

غياب مرآب للمرتفقين.",توفير مرآب مناسب.
3228,اللقاء,تحسين بنية الإستقبال,"Code
102

ضعف قدرات الموظفين في التواصل والاستقبال.",تنظيم دورات للتكوين المستمر.
3229,اللقاء,التشوير الطرقي,"Code
103

ممرات الراجليين في غير مواقعها ببعض الشوارع وغيابها امام المرافق العمومية والمؤسسات التعليمية.",{إقامة ممرات الراجليين امام مداخل المؤسسات التعليمية والمرافق العمومية ، وإزالتها من بعض النقط {القنطرة ومدرسة القدس...
3230,اللقاء,التشوير الطرقي,"Code
104

غياب التشوير الافقي وعدم وضوحه ببعض الشوارع الرءيسية{شارع مولاي عبد الله}",اقامة التشوير الافقي وتجديد صباغته
3231,اللقاء,التشوير الطرقي,"Code
105

مجموعة من علامات التشوير العمودية منزوعة وتم إتلافها.",تعويض علامات التشوير العمودية المنزوعة والتي تم اتلافها.
3232,اللقاء,التشوير الطرقي,"Code
106

{غياب علامات نعت بعض محطات الوقوف لسيارات الاجرة الصنف التاني 
{الاسواق النمودجية ومحطة القطار}",تثبيت علامات نعت محطة سيارات صنف التاني ومحطة القطار
3234,اللقاء,التشوير الطرقي,"Code
107
غياب التشوير النمودجي ببعض مدارات المدينة .
مدار محطة الحافلات ومدرسة النهى.",ضرورة تشوير كل مدارات المدينة
3235,اللقاء,التشوير الطرقي,"Code
108

ارتجالية في نصب بعض العلامات وازالتها في فترة وجيزة مثل حي الحرية وحي الملعب.",الالتزام بمضامين القرارات الجماعية المقررة وعدم تغييرها
3236,اللقاء,التشوير الطرقي,"Code
109

اختلاف قياسات ومعايير ونمادج علامات التشوير العمودية",توحيد نمادج وقياسات علامات التشوير العمودية بالمدينة
3238,اللقاء,التشوير الطرقي,"Code
111

الأضواء الثلاتية معطلة وبعضها تحجبها الاشجار",اصلاح واتعمييم الاضواء الثلاتية في الملتقيات الطرقية
3239,اللقاء,التشوير الطرقي,"Code
112

غياب علامات التوجيه الخاصة بالإدارات والمرافق العمومية",نصب وإقامة علامات التوجيه بمداخل المدينة ووسطها
3240,اللقاء,التشوير الطرقي,"Code
113

غياب علامات نعت مكسرات السرعة وممرات الراجلين بالمدينة",نصب علامات نعت مكسرات السرعة وممرات الراجلين
3241,اللقاء,التشوير الطرقي,"Code
114

ضعف التواصل مع المجتمع المدني","تنظيم لقاءات تواصلية مع فعاليات المجتمع المدني والفاعليين في ميدان التشوير لجمع اقتراحاتهم وملاحظاتهم وعرضها على لجن السير والجولان.
نشر القرارات التطبيقية للتشوير ببوابة الجماعة."
3253,الموقع,المشاركة المواطنة,"- تمكين الشباب وتأهيلهم من أجل مشاركة فاعلة في تدبير الشأن المحلي
- نقص الثقة بين المنتخب والشباب وضعف انخراطهم في تدبير الشأن المحلي
- التجارب السياسية السابقة التي همشت قضايا الشباب ضعف التوجيه والتأطير في اوساط الشباب ذكورا واناثا غياب فرص التشغيل وتحسين الدخل للشباب","-تحسين جودة خدمات وبرامج الجماعة الترابية
- اشراك الشباب باعتباره طاقة حيوية، في الشأن المحلي مما سيزيد من تحسين خدمات الادارة ومن من خلال الأفكار المقترحة
- تعزيز الثقة بين المواطن والجماعة الترابية
- مجلس الشباب قناة للتواصل والانفتاح ، وفرصة لتعزيز مكانة هذه الفئة في المجتمع.
- جعل المواطن شريكا في تحديد الاحتياجات وإيجاد الحلول:
حضور الشباب في الهيئة الاستشارية فرصة لاستثمار فئة نشيطة ومبدعة ، قادرة على توفير حلول نوعية وجيدة"
3256,الموقع,اشراك المواطنات والمواطنين وهيئات المجتمع المدني في تتبع تنفيذ برنامج عمل الجماعة,نقص في المعلومات المتعلقة بتنفيذ برنامج العمل,نشر تقارير لجنة تتبع تنفيذ برنامج عمل الجماعة
3271,ذاتية,الرقمنة,ضبط لقاءات المباشرة بين المرتفقين وممثلي الادارات الجماعية وما مدى تأثيرها على الشكل المطلوب لتقديم الخدمات,انشاء صفحة رقمية خاصة بالمواعيد واللقاءات المباشرة بين المرتفقين وممثلي الجماعة
3272,ذاتية,الميزانية التشاركية,ضعف ميزانية الجماعة,"عقد لقاءات تواصلية مع الساكنة وارباب الشركات والحرفيين المتواجدين على تراب الجماعة من اجل توعيتهم بأهمية اداء الضرائب في تنفيذ المشاريع التنموية للجماعة
ثانيا رفع ملتمس لوزارة الداخلية من اجل الزيادة في حصة الجماعة من الضريبة على القيمة المضافة 
ثالثا تشجيع وجلب الاستثمارات لصالح الجماعة 
رابعا البحث عن شركاء من اجل اتمام ما تبقى من خصائص في البينية التحتية
خامسا تسهيل المصادر للحصول على رخص الاستغلال والبناء وما شابههما"
3276,اللقاء,المحافضة على البيئة و تدبير النفايات,test,test
3277,اللقاء,المحافضة على البيئة و تدبير النفايات,"- عدم وجود الحاويات ووسائل نقل النفايات المنزلية
*2- عدم وجود مطرح يستجيب للشرط البيئية
*3- انخفاظ مستوى وعي المواطن باهمية المحافظة على البيئة","اقتناء الوسائل اللوجستيكية لتدبير النفايات
اقامة مطرح النفيات
تنظيم حملات تحسيسية و توعوية للمحافظة على البيئة
استخدام وسائل التواصل الاجتماعية بشكل مسؤول لتعزيز العمل البيئي"
3278,اللقاء,الشفافية والتواصل والوصول إلى المعلومة,"1- غياب تواصل فعال مع جميع شرائح المجتمع المحلي
2- غياب نشر جميع المعطيات المتعلقة بانشطة الجماعة
3- غياب المعرفة الرقمية لدى بعض الشرائح
4- غياب الاشهار لبعض المعلومات بالبوابة
5- غياب معلومات متعلقة بوجود الموقع الالكتروني","1- عقد لقاءات تواصلية بشكل دوري مع المجتمع المحلي
2- نشر و تبسيط المعطيات المتعلقة بالجماعة
3- دورات تكوينية في مجال الرقمنة ( مجتمع مدني ..مواطنين)
4- ادراج جميع انشطة الجماعة بالبوابة
5- الاهتمام بسبورة الاعلانات و العمل على التعريف بتواجد الموقع الالكتروني."
3279,اللقاء,دعم و تشجيع المشاركة المواطنة,"1- انخفاض منسوب الثقة المتبادلة بين الطرفين
2- ضعف اليات تنزيل برامج المشاركة المواطنة ( هيئة المساواة - النوع الاجتماعي )","1- التواصل 
2- التكوين ( اختصاصات الهيئة - المجتمع المدني ( العرائض) 
3- اقتراح اليات جديدة لتفعيل المشاركة المواطنة تراعي الخصوصية ( الرقمنة) 
- الأنشطة المقترحة:
* تنظيم دورات تكوينية لفائدة أعضاء المجلس و هيئة المساواة و تكافؤ الفرص
* اعداد مخطط التواصل
* تنظيم ورشات تشاوية مع المجتمع المدني ’ هيئة المساواة و تكافؤ الفرص و مقاربة النوع"
3280,اللقاء,شفافية الميزانية,"1- قلة الاهتمام و الاطلاع على ميزانية الجماعة
2- مشكل التواصل 
3- عدم فهم الميزانية (صعوبة فهم دلالات الفصول و الأبواب )","1- تعزيز قنوات التواصل و تنويعها ( مواقع التواصل الاجتماعي + ورشات تواصلية )
2- إتاحة الميزانية بشكل مبسط و سهل الاستيعاب 
الأنشطة المقترحة:
* تنظيم ورشات تواصلية توضح طرق نشر الميزانية 
* تنظيم دورات تكوينية لفائدة المنتخبين و الهيئات الاستشارية و المجتمع المدني و الموظفين حول قراءة و طرق اعداد الميزانية"
3290,الموقع,المشاركة المواطنة,"• ضعف اشراك الأشخاص في وضعية إعاقة في وضع السياسات العمومية ذات العلاقة بالإعاقة
• صعوبة الولوج للمعلومة المتعلقة بتشغيل الأشخاص في وضعية إعاقة.
• صعوبة الولوج للمعلومة المتعلقة بأنواع الإعاقة والمعطيات المتعلقة بها في الجماعة الترابية ملوسة.","• تقوية مشاركة الأشخاص في وضعية إعاقة في إعداد السياسات العمومية ذات العلاقة بالإعاقة.
• وضع آليات تضمن مشاركة الأشخاص في وضعية إعاقة في إعداد ميزانية الجماعة.
• توفير المعلومة المتعلقة بتشغيل الأشخاص في وضعية إعاقة.
• توفير قاعدة بيانات ومعطيات متعلقة بأنواع الإعاقة في الجماعة الترابية ملوسة."
3312,ذاتية,المشاركة المواطنة,"العمل السياسي : 
- انخراط نسبي في العمل الحزبي موسمي
- المشاركة في الانتخابات تتميزبالعزوف والتراجع 

التحديات / الإشكاليات المطروحة 

عدم الثقه في السياسي 
ضعف التكوين السياسي 
فتح المقرات خلال الفتره الانتخابية فقط
ضعف اشراك الشباب في العمل 
رؤيه نوويه لدى الفاعل السياسي","التواصل الدائم والمستمر 
التكوين 
تنمية القدرة على الترافع 
جلب مستثمرين
حجز التمويلات لمشاريع تنموية للقليعة"
3292,الموقع,الرقمنة,التبليغ عن الاعطاب الخاصة بالانارة العمومية.,"- إنشاء صفحة خاصة على الموقع الرسمي للجماعة لتلقي الشكاوى المتعلقة بالإنارة العمومية.
- تفعيل الرقم الأخضر.
- وضع برنامج رقمي للصيانة والتدخلات اليومية.
- ترقيم أعمدة المصابيح (النقط الضوئية ) لتسهيل الإدارة والصيانة."
3296,اللقاء,الرقمنة وتسهيل الوصول للمعلومة,"1- نقص في العتاد الإليكتروني.
2 خصاص في الأطر المتخصصة.
3- غياب التكوين.
4- الأمية المعلوماتية لدى المُرتفقين.","1- اقتناء العتاد المعلوماتي.
2- تنظيم مباريات للتوظيف وفتح باب الإلتحاق والإنتقال.
3- برمجة دورات تكوينية مستمرة.
4- حملات تحسيسية (فيديوهات وصور توضيحية)"
3297,اللقاء,آليات التواصل والشفافية,1- مشاركة المعلومة حول الأدوار والمشاريع التي تقوم بها الجماعة مع المواطنين.,1- تطوير البوابة الإلكترونية الجماعية وفتح فضاء رقمي للحوار وطرح الأسئلة والنقاش.
3299,اللقاء,الرقمنة وتسهيل الوصول للمعلومة,1- نقص في العتاد الإليكتروني.,1- اقتناء العتاد المعلوماتي.
3300,اللقاء,آليات التواصل والشفافية,1- مشاركة المعلومة حول الأدوار والمشاريع التي تقوم بها الجماعة مع المواطنين.,1- تطوير البوابة الإلكترونية الجماعية وفتح فضاء رقمي للحوار وطرح الأسئلة والنقاش.
3302,اللقاء,الرقمنة وتسهيل الوصول للمعلومة,1- نقص في العتاد الإليكتروني.,1- اقتناء العتاد المعلوماتي.
3303,الموقع,تعزيز رقمنة الخدمات,"Actuellement, les résidents sont confrontés à des obstacles pour signaler les problèmes à la municipalité (panne électriques, déchets abandonnés, routes dégradées...) notamment en devant se rendre physiquement au bureau municipal pour déposer une plainte. Cette méthode traditionnelle peut être contraignante et inefficace, décourageant ainsi la participation des citoyens à signaler les problèmes rencontrés dans la commune. De plus, cela peut entraîner des retards dans la résolution des problèmes signalés, ce qui nuit à la qualité de vie des résidents et à leur satisfaction à l'égard des services municipaux.","Pour répondre à ce défi, la création d'une application mobile de signalement des problèmes constitue une solution innovante et pratique. Grâce à cette application, les résidents peuvent signaler facilement et rapidement les incidents depuis n'importe quel endroit, sans avoir besoin de se déplacer jusqu'au bureau municipal. Ils peuvent fournir des détails précis sur les problèmes rencontrés et télécharger des photos pour une meilleure compréhension.Une fois le signalement soumis, il est directement acheminé aux services municipaux compétents pour une action immédiate. Cette solution numérique permet de faciliter la participation citoyenne, d'améliorer la communication entre la commune et les résidents, et d'accélérer la résolution des problèmes, contribuant ainsi à une meilleure qualité de vie dans la commune de Martil."
3304,الموقع,دعم و تشجيع المشاركة المواطنة,"Malgré ses attraits naturels et touristiques, la commune de Martil peut bénéficier d'une diversification de son offre en termes d'infrastructures de loisirs et de divertissement. La disponibilité limitée de centres commerciaux, de cinémas et d'autres équipements de divertissement peut limiter l'attrait de la commune pour les résidents et les visiteurs, ce qui réduit potentiellement les opportunités économiques et le niveau de satisfaction des habitants.","* Pour remédier à cette situation, la commune pourrait mettre en place des initiatives visant à attirer des investisseurs pour la construction et l'exploitation de nouveaux centres commerciaux, de cinémas, de complexes de loisirs ou d'autres infrastructures de divertissement. Cela pourrait être réalisé en offrant des incitations fiscales ou des avantages économiques aux investisseurs, en simplifiant les procédures administratives pour l'obtention de permis de construire, et en fournissant un soutien logistique et financier pour le développement de ces projets. En plus d'augmenter l'attractivité de la commune pour les résidents locaux, de tels projets peuvent également stimuler le tourisme et créer des emplois locaux, contribuant ainsi au développement économique et à l'amélioration de la qualité de vie dans la commune de Martil."
3305,الموقع,تعزيز الشفافية الولوج إلى المعلومة,"Actuellement, l'accès aux informations sur les activités du conseil municipal, les budgets municipaux, les plans de développement urbain et les projets en cours peut être limité pour les résidents de la commune de Martil","Pour remédier à cette lacune, la mise en place d'un portail en ligne centralisé offre une solution pratique et transparente. Ce portail permettrait aux résidents de Martil d'accéder facilement à toutes les informations pertinentes sur les décisions du conseil municipal, les budgets alloués à différents projets, les plans de développement urbain en cours et les initiatives communautaires en préparation. Grâce à cette plateforme, les citoyens peuvent rester informés, suivre l'évolution des projets et des politiques municipales, et participer activement au processus de prise de décision. En favorisant la transparence et en renforçant l'engagement des citoyens, ce portail contribue à promouvoir une gouvernance locale plus démocratique et inclusive à Martil."
3313,ذاتية,المشاركة المواطنة,"الفاعل الاقتصادي
عدم تواجد حي الصناعي وحرفي وتجاري
تعقيد المساطر الادارية
ارتفاع تكلفات كراء العقارات 
ضعف تمويل حاملي المشاريع 
قلة فرص الشغل
ضعف التجهيزات الاساسية
ضعف الوعاء العقاري لانشاء المشاريع","تبسيط المساطر الإدارية
الاسراع بإنشاء احياء صناعيه وحرفيه وتجاريه
خفض السومة الكرائية للمحلات التجارية بالأسواق
عقد شراكة بين الجماعة والمانحين لتمويل حاملي المشاريع
جلب مستثمرين لخلق فرص الشغل 
تطوير التجهيزات الأساسية وتشمل جميع الاحياء لجماعة القليعة
العدالة المجالية
التهيئة الحضارية لاماكن خاصة لمشاريع سكنيه اقتصادية"
