text,ground_truth,prediction,confidence
فك العزلة على مجموعة من القرى من بينها ولال.تغرماتبن.تابية.ايت اسعيد باليت.زاوية سيدي بوكيل ݣفاي و دالك عبر الطريق الرابطة بين قصر ولال و قصر تغجدت الدي يبلغ طوله حوالي 2 كلم !!!,neutral,positive,0.85
يعاني دوار امغار الموتن التابع لجماعة اغبالو من مسلك طرقي غير معبد منذ فترة طويلة، مسافته لا تتجاوز 4 كيلومترات، لهذا نناشد ونتمنى من الجهات المسوولة الالتفاتة ورد الاعتبار لهذه المنطقة وشكرا,negative,negative,0.85
بعض المتعلمين و المتعلمات الغير الداخليين /الداخليات من منطقة آيت عياش و الذين يتابعون دراستهم بمؤسسة مولاي رشيد التأهيلية أو ثانوية الحسن الثاني التأهيلية يريدون نقلا مدرسيا يربط مدينة ميدلت بآيت عياش بحيث أن كراء المنازل و تحمل عبء الحياة أثقل كاهلهم,neutral,negative,0.85
المسافة بين قصر تكرسيفت ومدينة الريش لاتتعدى 3 كلم ولا وجود لاي منشاة فنية طريق مستوية ، من الريش الى التجمع السكني الطيارة تم تشييد الطريق من طرف الجماعة الترابية الريش . لكن من الطيارة الى تكرسيفت لا زالت الطريق كما كانت منذ الاستعمار .,neutral,negative,0.75
"عدم توفر بعض الجماعات على مواقع للنشر 
انتشار وارتفاع نسبه الأمية مما يحد من استعمال او الولوج للمنصات الرقمية
البرامج التنمويه الفقر والبطاله والادمان على المخدرات والهواتف انعدام الثقه بين المواطنين والاداره
عدم تفاعل بعض المسؤولين مع طلبات المواطنين
عدم النشر الاستباقي للمعلومة 
بطء تفاعل الاداره مع المواطن",negative,negative,0.9
نحيطكم علما سيدي بأنني رئيس جمعية المو مقرها بقصر تكندوزت أموكركما أنني ايضا سائق حافلة النقل المدرسي وأننا نعاني من خصاصي مهول في وسيلة النقل المدرسيللثانوية ال الاعدادية زيز بأموكر قيادة أموكر رغم توفرنا على بعضهم الا اننا نواجه أعطاب تقنية بشكل مستمر ودائم مما يجعل تلميد يعاني الويلات من الاكتطاط والكم الهائل منهم وتارة تتسب تلك الأعطاب في تأخرهم عن الدروس وهدا ما يجعل بعطهم يضطر عن مغادرة مقاعد الدراسة بصفة نهائية ولهذا نطالبكم سيدي بزيادة وسيلتين لنقل المدرسي المساندة لتلميد واللذي في حاجة ماسة اليها خصوصا انهم يقطنون في المناطق النائية وبهذا لينال نصبه في حقه المشروع ألا وهو التعليم,negative,negative,0.85
"Code
83

قلة مكسرات السرعة في بعض الطرقات المهمة",negative,negative,0.7
انعدام المراحيض العمومية بالمدينة.,negative,negative,0.85
"Code
89
عدم وجود مكسرات السرعة امام المؤسسات التعليمية.",neutral,negative,0.85
"Code
90
عدم تغطية كل أحياء المدينة بالإنارة العمومية بشكل متكافئ.",negative,negative,0.85
"Code
91
تردد المرتفقين على المصلحة المختصة من أجل معالجة المشاكل المرتبطة بالإنارة العمومية.",neutral,neutral,0.85
"Code
92
اختلاف نوعية المصابيح المتبتة {الصوديوم الليد}",neutral,neutral,0.8
"Code
93

نقص الانارة بالمساجد والمؤسسات التعليمية .
نقص اليد العاملة لتلبية الحاجيات الخاصة بالانارة العمومية.",negative,negative,0.85
"Code
94

غياب مكتب الاستقبال والارشاد والتوجيه.",neutral,negative,0.85
"Code
96

عسر ولوج الاشخاص في وضعية إعاقة.",neutral,negative,0.8
"Code
98

نقص التشوير الارشادي داخل الجماعة.",negative,negative,0.75
"Code
100

ضعف التواصل من المجلس في اتجاه المواطن",neutral,negative,0.85
"Code
101

غياب مرآب للمرتفقين.",negative,negative,0.8
"Code
102

ضعف قدرات الموظفين في التواصل والاستقبال.",negative,negative,0.85
"Code
103

ممرات الراجليين في غير مواقعها ببعض الشوارع وغيابها امام المرافق العمومية والمؤسسات التعليمية.",negative,negative,0.85
"Code
104

غياب التشوير الافقي وعدم وضوحه ببعض الشوارع الرءيسية{شارع مولاي عبد الله}",negative,negative,0.75
"Code
105

مجموعة من علامات التشوير العمودية منزوعة وتم إتلافها.",neutral,negative,0.85
"Code
106

{غياب علامات نعت بعض محطات الوقوف لسيارات الاجرة الصنف التاني 
{الاسواق النمودجية ومحطة القطار}",negative,negative,0.7
"Code
107
غياب التشوير النمودجي ببعض مدارات المدينة .
مدار محطة الحافلات ومدرسة النهى.",neutral,negative,0.7
"Code
108

ارتجالية في نصب بعض العلامات وازالتها في فترة وجيزة مثل حي الحرية وحي الملعب.",neutral,negative,0.75
"Code
109

اختلاف قياسات ومعايير ونمادج علامات التشوير العمودية",neutral,neutral,0.8
"Code
111

الأضواء الثلاتية معطلة وبعضها تحجبها الاشجار",neutral,negative,0.85
"Code
112

غياب علامات التوجيه الخاصة بالإدارات والمرافق العمومية",negative,negative,0.75
"Code
113

غياب علامات نعت مكسرات السرعة وممرات الراجلين بالمدينة",neutral,negative,0.85
"Code
114

ضعف التواصل مع المجتمع المدني",negative,negative,0.85
"- تمكين الشباب وتأهيلهم من أجل مشاركة فاعلة في تدبير الشأن المحلي
- نقص الثقة بين المنتخب والشباب وضعف انخراطهم في تدبير الشأن المحلي
- التجارب السياسية السابقة التي همشت قضايا الشباب ضعف التوجيه والتأطير في اوساط الشباب ذكورا واناثا غياب فرص التشغيل وتحسين الدخل للشباب",negative,negative,0.8
نقص في المعلومات المتعلقة بتنفيذ برنامج العمل,negative,negative,0.7
ضبط لقاءات المباشرة بين المرتفقين وممثلي الادارات الجماعية وما مدى تأثيرها على الشكل المطلوب لتقديم الخدمات,neutral,neutral,0.85
ضعف ميزانية الجماعة,negative,negative,0.85
test,neutral,neutral,0.9
"- عدم وجود الحاويات ووسائل نقل النفايات المنزلية
*2- عدم وجود مطرح يستجيب للشرط البيئية
*3- انخفاظ مستوى وعي المواطن باهمية المحافظة على البيئة",negative,negative,0.85
