titles,CT,Collectivité territorial,المواضيع
استصلاح و فتح المسالك القروية التابعة ل جماعة بومية,المجلس الإقليمي ميدلت,Province Midelt,
استصلاح و فتح المسالك القروية التابعة لجماعة انمزي,المجلس الإقليمي ميدلت,Province Midelt,
استصلاح و فتح المسالك القروية التابعة لجماعة تانوردي,المجلس الإقليمي ميدلت,Province Midelt,
استصلاح و فتح المسالك القروية التابعة لجماعة كير,المجلس الإقليمي ميدلت,Province Midelt,
استصلاح و فتح المسالك القروية التابعة لجماعة كرامة,المجلس الإقليمي ميدلت,Province Midelt,
استصلاح و فتح المسالك القروية التابعة لجماعة اغبالو,المجلس الإقليمي ميدلت,Province Midelt,
استصلاح و فتح المسالك القروية التابعة لجماعة امرصيد,المجلس الإقليمي ميدلت,Province Midelt,
استصلاح و فتح المسالك القروية التابعة لجماعة اكديم,المجلس الإقليمي ميدلت,Province Midelt,
استصلاح و فتح المسالك القروية التابعة لجماعة تيزي نغشو,المجلس الإقليمي ميدلت,Province Midelt,
بناء قنطرة أ أكديم بجماعة ايت بن يعقوب,المجلس الإقليمي ميدلت,Province Midelt,
فتح و بناء الطريق الرابط بين تيرغيست و اكا نوانين,المجلس الإقليمي ميدلت,Province Midelt,
اعداد ميزانية مستجيبة للنوع الاجتماعي مع تزفير احصائيات حول النوع الاجتماعي بجماعة افران,جماعة إفران,Commune Ifrane,
احداث بوابة رقمية للتواصل مع المواطنين,جماعة إفران,Commune Ifrane,
رقمنة المصالح الجماعية,جماعة إفران,Commune Ifrane,
احداث مجلس محلي للاعلام و الاتصال,جماعة إفران,Commune Ifrane,
إحداث شاشة تفاعلية بمدخل الجماعة,جماعة عين الشقف,Commune Ain Chkef,
تكوين الموظفين في مجال الرقمنة,جماعة عين الشقف,Commune Ain Chkef,
إحداث لجنة التتبع والتقييم,جماعة عين الشقف,Commune Ain Chkef,
إحداث مجلس للشباب,جماعة عين الشقف,Commune Ain Chkef,
تأطير وتكوين أعضاء هيئة المساواة وتكافؤ الفرص ومقاربة النوع,جماعة عين الشقف,Commune Ain Chkef,
تهيئة الشارع الرئيسي بالقطب الحضري راس الماء,جماعة عين الشقف,Commune Ain Chkef,
احداث موقع رسمي لجماعة اكنول ورقمنة المكاتب الجماعية,جماعة أكنول,Commune Aknoul,
إحصاء، تصنيف وصيانة المواقع التاريخية والمعالم الأثرية للمنطقة،,جماعة أكنول,Commune Aknoul,
بناء دار اللوز,جماعة أكنول,Commune Aknoul,
تهييئ واصلاح بناية مهجورة تابعة لوزارة العدل من اجل استغلالها دارا للضيافة ومقرا لأنشطة الجمعيات والتعاونيات،,جماعة أكنول,Commune Aknoul,
تاهيل حامة ازغار,جماعة كلدمان,Commune Galdamane,
توفير الوعاء العقاري من اجل انشاء المشاريع التنموية ( انشاء منطقة صناعية ، سوق اقليمي للمواشي ),جماعة كلدمان,Commune Galdamane,
احداث دار الشباب بالجماعة,جماعة كلدمان,Commune Galdamane,
احداث الموقع الرسمي للجماعة وتعزيز القدرات في مجال الرقمنة,جماعة كلدمان,Commune Galdamane,
الشراكة والترافع من اجل تنفيد المشاريع المدرجة ببرنامج عمل الجماعة,جماعة كلدمان,Commune Galdamane,
انشاء وحدة صناعية لتثمين المنتوجات المجالية ( الزيتون،اللوز ، المنتوجات العشبية ),جماعة كلدمان,Commune Galdamane,
تحسين استقبال المرتفقين,جماعة تاونات,Commune Taounate,
تتبع وصيانة المساحات الخضراء,جماعة تاونات,Commune Taounate,
التمكين الرقمي مفتاح النواصل,جماعة تاونات,Commune Taounate,
تجهيزمصالح جماعة تاونات بالتجهيزات الالكترونية,جماعة تاونات,Commune Taounate,
حملات تحسيسية وتوعوية للولوج للمنصات الرقمية,جماعة تاونات,Commune Taounate,
تقويةقدرات الموارد البشرية بجماعة تاونات,جماعة تاونات,Commune Taounate,
المشاركة المواطنة,جماعة تاونات,Commune Taounate,
تعديل النظام الداخلي لجماعة تاونات,جماعة تاونات,Commune Taounate,
تعميم الولوجيات بملاعب القرب,جماعة تاونات,Commune Taounate,
خلق ملاعب القرب والمحافظة عليها,جماعة تاونات,Commune Taounate,
تجهيز ورقمنة مركز الاستقبال,جماعة تاونات,Commune Taounate,
احداث مساحات خضراء بمدينة تاونات والمحافظة عليها,جماعة تاونات,Commune Taounate,
إحداث مكتب لتدبير الملاعب الرياضية الجماعية و تجهيزه,جماعة جرسيف,Commune Guercif,
تنظيم لقاءات تواصلية و تأطيرية لفائدة الجمعيات الرياضية.,جماعة جرسيف,Commune Guercif,
إحداث منتدى الحي على مستوى الأقطاب الكبرى بالمدينة - القطب الثالث (الأحياء التابعة للملحقة الإدارية الثالثة),جماعة جرسيف,Commune Guercif,
إحداث منتدى الحي على مستوى الأقطاب الكبرى بالمدينة - القطب الرابع (الأحياء التابعة للملحقة الإدارية الرابعة ),جماعة جرسيف,Commune Guercif,
إحداث منتدى الحي على مستوى الأقطاب الكبرى بالمدينة - القطب الثاني ( الأحياء التابعة للملحقة الإدارية الثانية),جماعة جرسيف,Commune Guercif,
إحداث منتدى الحي على مستوى الأقطاب الكبرى بالمدينة - القطب الأول ( الأحياء التابعة للملحقة الإدارية الأولى),جماعة جرسيف,Commune Guercif,
إحداث مكتبة الحديقة بساحة 06 نونبر,جماعة جرسيف,Commune Guercif,
تنظيم معرض للكتاب,جماعة جرسيف,Commune Guercif,
تنظيم مسابقة للعرض المسرحي و الفني.,جماعة جرسيف,Commune Guercif,
تنشيط المركب التجاري بحي النكد,جماعة جرسيف,Commune Guercif,
توفير خدمات جيدة وفعالة لمغاربة العالم,جماعة فجيج,Commune Figuig,
تشجيع مغاربة العالم على الاستثمار بالواحة,جماعة فجيج,Commune Figuig,
تفعيل دور هيأة المساواة وتكافؤ الفرص,جماعة فجيج,Commune Figuig,
مواكبة وتاهيل المجتمع المدني للقيام بدوره على احسن وجه,جماعة فجيج,Commune Figuig,
تشجيع المواطن على تبني آليات الديمقراطية التشاركية، والمشاركة في صنع وتتبع القرار المتعلق بسياسة ومشاريع الجماعة,جماعة فجيج,Commune Figuig,
مساعدة المواطن على الانفتاح على تجارب جماعات اخرى,جماعة فجيج,Commune Figuig,
اقتناء اراضي سلالية والمساهمة في حل اشكلية الارث في اراضي الملك الخاص,جماعة فجيج,Commune Figuig,
بناء ملاعب القرب,جماعة أركانة,Commune Argana,
الرقمنة,جماعة لكفيفات,Commune Legfifate,
الماء والكهرباء,جماعة لكفيفات,Commune Legfifate,
البيئة,جماعة لكفيفات,Commune Legfifate,
تطوير أليات التواصل,جماعة لقليعة,Commune Leqlia,
تجويد أليات الحصول على المعلومات,جماعة لقليعة,Commune Leqlia,
إعداد ميزانية تشاركية,جماعة لقليعة,Commune Leqlia,
إعداد ميزانية المواطن ونشرها,جماعة لقليعة,Commune Leqlia,
تعزيز مواكبة الموظفين لبرامج التحول الرقمي,جماعة لقليعة,Commune Leqlia,
نشر التقييم السنوي لبرنامج عمل الجماعة,جماعة لقليعة,Commune Leqlia,
إحداث هوية بصرية للمدينة,جماعة لقليعة,Commune Leqlia,
تطوير وحدة إدارية تهتم بالهجرة والجالية المغربية,جماعة لقليعة,Commune Leqlia,
رقمنة خدمات جماعة القليعة,جماعة لقليعة,Commune Leqlia,
تعزيز المشاركة المواطنة بالجماعة,جماعة لقليعة,Commune Leqlia,
تطوير البوابة الإليكترونية الجماعية وفتح حساب على منصة فايس بوك,جماعة أيت عميرة,Commune Ait Amira,
تأهيل وتجهيز المرافق الادارية بالوسائل الرقمية وتعزيزها بالموارد البشرية اللازمة,جماعة أيت عميرة,Commune Ait Amira,
دعم الجمعيات التي تعنى بتدبير قطاع النظافة بالدواوير التابعة للجماعة.,جماعة أيت عميرة,Commune Ait Amira,
تعزيز أسطول جمع النفايات بالآليات والمعدات,جماعة أيت عميرة,Commune Ait Amira,
تعزيز الحصول على المعلومة,جماعة بيوكرى,Commune Biougra,
الرقمنة الادارية,جماعة بيوكرى,Commune Biougra,
الشفافية والمساءلة,جماعة بيوكرى,Commune Biougra,
الميزانية التشاركية,جماعة بيوكرى,Commune Biougra,
أيام الابواب المفتوحة الرقمية بجماعة القنيطرة,جماعة القنيطرة,Commune Kenitra,
احداث هيئات استشارية,جماعة القنيطرة,Commune Kenitra,
احداث وتجهيز متحف رياضي بالملعب البلدي بمدينة القنيطرة,جماعة القنيطرة,Commune Kenitra,
توحيد لون البنايات لتعزيز الهوية البصرية بمدينة القنيطرة,جماعة القنيطرة,Commune Kenitra,
مهرجان دولي حول فنون الطبخ لمنطقة الغرب,جماعة القنيطرة,Commune Kenitra,
حملة تحسيسية ترتبط بالمجال البيئي بجماعة القنيطرة,جماعة القنيطرة,Commune Kenitra,
:اقتناء عتاد كهربائي وإلكتروني وتحيين شبكة الانترنيت بالجماعة,جماعة سيدي الطيبي,Commune Sidi Taibi,
اقتناء حواسيب وطابعات وتفعيل وتطوير موقع الجماعة الإلكتروني,جماعة سيدي الطيبي,Commune Sidi Taibi,
التدبير المفوض للنظافة,جماعة سيدي الطيبي,Commune Sidi Taibi,
بناء مركز لتجميع وتحويل النفايات,جماعة سيدي الطيبي,Commune Sidi Taibi,
تشوير داخل القطاعات و احياء جماعة سيدي الطيبي,جماعة سيدي الطيبي,Commune Sidi Taibi,
الإنارة العمومية لطريق بئر رامي,جماعة سيدي الطيبي,Commune Sidi Taibi,
اسنبدال مصابيح الصوديوم بمصابيح LED,جماعة سيدي الطيبي,Commune Sidi Taibi,
الإنارة العمومية للطريق الوطنية رقم 1 لالألواح الشمسية بجماعة سيدي الطيبي,جماعة سيدي الطيبي,Commune Sidi Taibi,
تعزيز أدوار الهيآت الاستشارية لدى المجلس الجماعي وتحسين ظروف اشتغالها.,جماعة سوق الأربعاء,Commune Souk Larbaa,
تنظيم أسبوعي بيئي ربيعي سنوي,جماعة سوق الأربعاء,Commune Souk Larbaa,
إعداد مخطط للسير والجولان للمجال الترابي للجماعة.,جماعة سوق الأربعاء,Commune Souk Larbaa,
إحداث وحدة إدارية جماعية لتتبع العرائض والآراء الاستشارية.,جماعة سوق الأربعاء,Commune Souk Larbaa,
دعم التحول الرقمي بالجماعة من خلال تعزيز العمل بالتطبيقات المعلوماتية.,جماعة سوق الأربعاء,Commune Souk Larbaa,
تأهيل حديقة نموذجية بشراكة مع الهيئات الاستشارية لدى المجلس الجماعي.,جماعة سوق الأربعاء,Commune Souk Larbaa,
التعريف بمجالات تدخل الجماعة وخدماتها واختصاصاتها عبر أنشطة تواصلية.,جماعة سوق الأربعاء,Commune Souk Larbaa,
تعزيز الحق في الحصول على المعلومة باعتماد النشر الاستباقي لها.,جماعة سوق الأربعاء,Commune Souk Larbaa,
المشاركة المواطنة آلية للمساهمة في التنمية الترابية المحلية,جماعة تالمست,Commune Talmest,
الرقمنة رافعة لتجويد خدمات جماعة تالمست,جماعة تالمست,Commune Talmest,
آليات تتبع برنامج عمل الجماعة,جماعة تالمست,Commune Talmest,
من اجل تالمست نظيفة,جماعة تالمست,Commune Talmest,
الرقمنة,جماعة حربيل,Commune Harbil,
الشفافية والمساءلة,جماعة حربيل,Commune Harbil,
المشاركة المواطنة,جماعة حربيل,Commune Harbil,
الحق في الحصول على المعومة,جماعة حربيل,Commune Harbil,
التشوير الداخلي للجماعة و ملحقاتها.,جماعة طانطان,Commune Tantan,
تنظيم دورات تكوينية موضوعاتية حول الديمقراطية التشاركية لفائدة أعضاء هيئة المساواة وتكافؤ الفرص ومقاربة النوع وجمعيات المجتمع المدني المحلي,جماعة طانطان,Commune Tantan,
تنظيم أيام تحسيسية وتوعوية وحملات للنظافة,جماعة طانطان,Commune Tantan,
تنظيم دورات تكوينية في مجال التدبير الرقمي لفائدة موظفي واطر الجماعة وملحقاتها,جماعة طانطان,Commune Tantan,
تطوير الموقع الالكتروني عبر خلق نوافد خاصة لتقديم مختلف خدمات القرب التي تباشرها الجماعة,جماعة طانطان,Commune Tantan,
تنظيم دورات تكوينية لتقنيي مصلحة الانارة العمومية,جماعة طانطان,Commune Tantan,
تعزيز مصلحة الانارة العمومية بالمعدات اللازمة للعمل وتزويد ماكز التحكم بالموقتات الذكية,جماعة طانطان,Commune Tantan,
وضع رقم هاتفي رهن إشارة المواطنين والمواطنات للتواصل وترقيم أعمدة الإنارة العمومية وصيانتها,جماعة طانطان,Commune Tantan,
احداث الموقع الرسمي و قنوات التواصل الاجتماعي للجماعة,جماعة أسا,Commune Assa,
ربط مكتب الجماعة بالشبكة الالكترونية,جماعة أسا,Commune Assa,
احداث مصلحة الارشيف,جماعة أسا,Commune Assa,
دعم و تكوين الموارد البشرية,جماعة أسا,Commune Assa,
تنظيم لقاءات تواصلية مع المجتمع المدني من اجل توعية المواطن باهمية المواكبة و التتبع لبرامج الجماعة,جماعة أسا,Commune Assa,
احداث و تفعيل وسائل التواصل مع المواطن,جماعة أسا,Commune Assa,
تشوير الشوارع و الازقة,جماعة أسا,Commune Assa,
تاهيل الملعب الجماعي,جماعة أسا,Commune Assa,
احداث ملاعب القرب,جماعة أسا,Commune Assa,
احداث مراكز ثقافية,جماعة أسا,Commune Assa,
احداث معهد المعادن,جماعة أسا,Commune Assa,
خلق منصة إلكترونية تفاعلية,جماعة خنيفرة,Commune Khenifra,
برنامج تكوين مستمروتأطيرخاص للهيئات الاستشارية والجمعيات النشيطة بالمدينة.,جماعة خنيفرة,Commune Khenifra,
إنشاء مشتل خاص بجماعة خنيفرة لانتاج الاغراس وزهور الزينة.,جماعة خنيفرة,Commune Khenifra,
إنشاء ملجأ لتجميع الحيوانات الضالة.,جماعة خنيفرة,Commune Khenifra,
إنشاء مرصد لتكوين وتأطير ومصاحبة التعاونيات الانتاجية والخدماتية بالمدينة .,جماعة خنيفرة,Commune Khenifra,
خلق أكشاك على جنبات واد أم الربيع بالمدينة .,جماعة خنيفرة,Commune Khenifra,
خلق نقط إتصال للانترنيت مجانا في الفضاءات العامة.,جماعة خنيفرة,Commune Khenifra,
إحداث مهرجان سنوي « أزلو» للموسيقى الأمازيغية.,جماعة خنيفرة,Commune Khenifra,
إنشاء فضاءات مخصصة للتمارين الحضرية street workout,جماعة خنيفرة,Commune Khenifra,
تتبع ربط الدور السكنية بالأحياء المستصلحة بالكهرباء,جماعة وادي زم,Commune Ouad Zem,
إعادة تهيئة و أزقة المدينة بمصابيح LED,جماعة وادي زم,Commune Ouad Zem,
إنشاء فضاءات رياضية,جماعة وادي زم,Commune Ouad Zem,
تعديل المقرر التنظيمي للعربات المجرورة والقيام بعمليات تحسيسية للتوعية,جماعة وادي زم,Commune Ouad Zem,
مشروع تدبير المقبرة,جماعة وادي زم,Commune Ouad Zem,
تهيئة المقبرة,جماعة وادي زم,Commune Ouad Zem,
إنشاء مرافق صحية,جماعة وادي زم,Commune Ouad Zem,
إعادة التشوير بالمدينة,جماعة وادي زم,Commune Ouad Zem,
القيام بدورات تحسيسية للتعريف بالمنصات الر قمية الرسمية و البوابة الجماعية,جماعة وادي زم,Commune Ouad Zem,
إنشاء تطبيق محلي للجماعة خاص بالخدمات الجماعية ( النظافة - الإنارة العمومية - البستنة ...),جماعة وادي زم,Commune Ouad Zem,
إعداد و نشر ميزانية المواطن بالبوابة الجماعية,جماعة وادي زم,Commune Ouad Zem,
رقمنة الإدارة الجماعية,جماعة سوق السبت أولاد النمة,Commune Souq Oulad Ounemma,
الــعنونـــــة,جماعة سوق السبت أولاد النمة,Commune Souq Oulad Ounemma,
الإجهاد المائي,جماعة سوق السبت أولاد النمة,Commune Souq Oulad Ounemma,
اهمية الشراكة والترافع في تنفيذ مشاريع الجماعة,جماعة سوق السبت أولاد النمة,Commune Souq Oulad Ounemma,
تعبيد الطرق و إصلاح الحفر بشوارع و أزقة المدينة.,جماعة تاوريرت,Commune Taourirt,
إحداث مراحيض عمومية متنقلة بالمدينة.,جماعة تاوريرت,Commune Taourirt,
وضع و تثبيت علامات التشوير العمودي و الأفقي ونصب علامات التوجيه و النعت بمداخل و وسط المدينة.,جماعة تاوريرت,Commune Taourirt,
إصلاح و تعميم الأضواء الثلاثية بالمحاور و الشوارع الرئيسية بالمدينة.,جماعة تاوريرت,Commune Taourirt,
توفير الولوجيات لذوي الاحتياجات الخاصة و تعميمها بجميع الملحقات الإدارية التابعة للجماعة.,جماعة تاوريرت,Commune Taourirt,
تخصيص مكتب للإرشادات و التوجيه بمدخل الجماعة مع توفير لوحة/ سبورة إلكترونية أو شاشات ببهو الجماعة لتوجيه و تسهيل الولوج لمكاتب الجماعة من طرف المرتفقين .,جماعة تاوريرت,Commune Taourirt,
إصلاح و تأهيل المرآب بالجماعة لتنظيم و استقبال المرتفقين و موظفي و أعضاء المجلس.,جماعة تاوريرت,Commune Taourirt,
تجديد و تعميم شبكة الإنارة العمومية على جميع أحياء المدينة و اقتناء المصابيح من نوع LED صديقة للبيئة.,جماعة تاوريرت,Commune Taourirt,
إحداث مكسرات السرعة أمام المؤسسات التعليمية و الإدارات العمومية بمواصفات تقنية/ صباغة ممرات الراجلين بشكل دوري و إزالة العشوائية منها .,جماعة تاوريرت,Commune Taourirt,
